Term,Normalized Similarity,Raw Similarity,Rank,Model
flood,1.0,0.7854228728098126,1,sionic-v1
dam failure,0.9085221289842168,0.7775827205444503,2,sionic-v1
improper drainage,0.8323202528816092,0.7710518043248584,3,sionic-v1
heavy rainfall,0.8000871290075784,0.7682892498802203,4,sionic-v1
construction near a water body,0.7675767448304459,0.7655029327160379,5,sionic-v1
tsunami,0.7511934216473032,0.764098792600596,6,sionic-v1
severe storm,0.7114233135952308,0.7606902775217486,7,sionic-v1
irrigation canals overflow,0.6747043031414284,0.7575432581410552,8,sionic-v1
fire,0.6373460033993493,0.7543414481830774,9,sionic-v1
broken water main,0.6195528073731613,0.7528164742786378,10,sionic-v1
monsoon rains,0.592191082398432,0.7504714252775758,11,sionic-v1
broken levee,0.565074449898606,0.7481473820378088,12,sionic-v1
wind,0.5563479200755529,0.7473994708566538,13,sionic-v1
burst pipe,0.5018101874481765,0.7427252898415264,14,sionic-v1
police,0.19577707988789952,0.7164965840914703,15,sionic-v1
tears of joy,0.0,0.6997174210070529,16,sionic-v1
dam failure,1.0,0.7409915,1,sentence-transformers/sentence-t5-xxl
flood,0.8917806,0.724329,2,sentence-transformers/sentence-t5-xxl
improper drainage,0.86128604,0.71963376,3,sentence-transformers/sentence-t5-xxl
broken water main,0.8514791,0.7181238,4,sentence-transformers/sentence-t5-xxl
burst pipe,0.850756,0.71801245,5,sentence-transformers/sentence-t5-xxl
tsunami,0.79906815,0.7100541,6,sentence-transformers/sentence-t5-xxl
heavy rainfall,0.75558335,0.70335877,7,sentence-transformers/sentence-t5-xxl
construction near a water body,0.7386306,0.70074856,8,sentence-transformers/sentence-t5-xxl
irrigation canals overflow,0.73115647,0.6995978,9,sentence-transformers/sentence-t5-xxl
broken levee,0.7200953,0.6978947,10,sentence-transformers/sentence-t5-xxl
wind,0.7022576,0.6951482,11,sentence-transformers/sentence-t5-xxl
severe storm,0.5872241,0.6774366,12,sentence-transformers/sentence-t5-xxl
monsoon rains,0.5418649,0.67045265,13,sentence-transformers/sentence-t5-xxl
fire,0.3579721,0.6421388,14,sentence-transformers/sentence-t5-xxl
police,0.26234302,0.6274148,15,sentence-transformers/sentence-t5-xxl
tears of joy,0.0,0.587022,16,sentence-transformers/sentence-t5-xxl
flood,1.0,0.8321763,1,thenlper/gte-large
dam failure,0.8441786,0.8152107,2,thenlper/gte-large
heavy rainfall,0.8136664,0.8118886,3,thenlper/gte-large
construction near a water body,0.74277174,0.80416965,4,thenlper/gte-large
tsunami,0.72496235,0.8022306,5,thenlper/gte-large
improper drainage,0.71311903,0.8009411,6,thenlper/gte-large
fire,0.6810926,0.7974541,7,thenlper/gte-large
broken water main,0.67301023,0.7965741,8,thenlper/gte-large
irrigation canals overflow,0.61641085,0.79041165,9,thenlper/gte-large
severe storm,0.5987729,0.78849125,10,thenlper/gte-large
monsoon rains,0.5846987,0.7869589,11,thenlper/gte-large
broken levee,0.48529437,0.77613586,12,thenlper/gte-large
wind,0.44896674,0.77218056,13,thenlper/gte-large
burst pipe,0.43182856,0.7703146,14,thenlper/gte-large
police,0.26443917,0.75208944,15,thenlper/gte-large
